Date,Price,Open,High,Low,Change %,diff_1,label
2021-10-18,1.1609,1.1597,1.1624,1.1571,0.08%,0.0009000000000001229,0.0
2021-10-19,1.1632,1.1611,1.167,1.1608,0.20%,0.0022999999999999687,2.0
2021-10-20,1.1649,1.1634,1.1659,1.1616,0.15%,0.0017000000000000348,0.0
2021-10-21,1.1621,1.165,1.1668,1.1619,-0.24%,-0.0028000000000001357,1.0
2021-10-22,1.1647,1.1623,1.1656,1.1621,0.22%,0.0026000000000001577,2.0
2021-10-25,1.1606,1.1644,1.1666,1.159,-0.35%,-0.0040999999999999925,1.0
2021-10-26,1.1595,1.1607,1.1626,1.1585,-0.09%,-0.001100000000000101,0.0
2021-10-27,1.1604,1.1597,1.1626,1.1585,0.08%,0.0009000000000001229,0.0
2021-10-28,1.1679,1.1605,1.1693,1.1581,0.65%,0.00749999999999984,2.0
2021-10-29,1.1561,1.168,1.169,1.1535,-1.01%,-0.011800000000000033,1.0
2021-11-01,1.1606,1.1559,1.161,1.1545,0.39%,0.0045000000000001705,2.0
2021-11-02,1.1577,1.1605,1.1615,1.1574,-0.25%,-0.0029000000000001247,1.0
2021-11-03,1.161,1.1579,1.1617,1.1561,0.29%,0.0033000000000000806,2.0
2021-11-04,1.1552,1.1611,1.1617,1.1528,-0.50%,-0.005800000000000027,1.0
2021-11-05,1.1566,1.1553,1.1574,1.1513,0.12%,0.0014000000000000679,0.0
2021-11-08,1.1586,1.1555,1.1595,1.155,0.17%,0.0020000000000000018,2.0
2021-11-09,1.1591,1.1588,1.1609,1.1569,0.04%,0.0004999999999999449,0.0
2021-11-10,1.1478,1.1593,1.1596,1.1475,-0.97%,-0.011300000000000088,1.0
2021-11-11,1.145,1.1482,1.1488,1.1443,-0.24%,-0.0027999999999999137,1.0
2021-11-12,1.145,1.1454,1.1463,1.1432,0.00%,0.0,0.0
2021-11-15,1.1367,1.1452,1.1465,1.1356,-0.72%,-0.008299999999999974,1.0
2021-11-16,1.1319,1.1368,1.1386,1.1309,-0.42%,-0.0048000000000001375,1.0
2021-11-17,1.1319,1.1321,1.1333,1.1264,0.00%,0.0,0.0
2021-11-18,1.1369,1.1319,1.1375,1.1314,0.44%,0.0050000000000001155,2.0
2021-11-19,1.1289,1.1371,1.1374,1.125,-0.70%,-0.008000000000000007,1.0
2021-11-22,1.1234,1.1292,1.1293,1.123,-0.49%,-0.00550000000000006,1.0
2021-11-23,1.1246,1.1237,1.1276,1.1226,0.11%,0.0012000000000000899,0.0
2021-11-24,1.1197,1.1248,1.1256,1.1185,-0.44%,-0.0049000000000001265,1.0
2021-11-25,1.1206,1.1198,1.1231,1.1198,0.08%,0.0009000000000001229,0.0
2021-11-26,1.1317,1.1209,1.1331,1.1205,0.99%,0.011099999999999888,2.0
2021-11-29,1.1291,1.1309,1.1316,1.1258,-0.23%,-0.0025999999999999357,1.0
2021-11-30,1.1336,1.1291,1.1384,1.1236,0.40%,0.0044999999999999485,2.0
2021-12-01,1.1319,1.1339,1.136,1.1302,-0.15%,-0.0017000000000000348,0.0
2021-12-02,1.1299,1.132,1.1349,1.1294,-0.18%,-0.0020000000000000018,1.0
2021-12-03,1.1313,1.1301,1.1334,1.1265,0.12%,0.0014000000000000679,0.0
2021-12-06,1.1285,1.1321,1.1321,1.1266,-0.25%,-0.0027999999999999137,1.0
2021-12-07,1.1263,1.1287,1.1301,1.1228,-0.19%,-0.0021999999999999797,1.0
2021-12-08,1.1342,1.1267,1.1356,1.1264,0.70%,0.007900000000000018,2.0
2021-12-09,1.1292,1.1342,1.1348,1.1278,-0.44%,-0.0050000000000001155,1.0
2021-12-10,1.1311,1.1293,1.1325,1.1264,0.17%,0.0019000000000000128,0.0
2021-12-13,1.1283,1.1316,1.1321,1.1259,-0.25%,-0.0027999999999999137,1.0
2021-12-14,1.1257,1.1285,1.1327,1.1253,-0.23%,-0.0026000000000001577,1.0
2021-12-15,1.1285,1.1259,1.13,1.1221,0.25%,0.0028000000000001357,2.0
2021-12-16,1.1328,1.1286,1.1361,1.128,0.38%,0.0042999999999999705,2.0
2021-12-17,1.1239,1.133,1.135,1.1235,-0.79%,-0.00890000000000013,1.0
2021-12-20,1.1275,1.1242,1.1305,1.1234,0.32%,0.0036000000000000476,2.0
2021-12-21,1.1283,1.1277,1.1303,1.126,0.07%,0.0008000000000001339,0.0
2021-12-22,1.1324,1.1279,1.1343,1.1264,0.36%,0.0040999999999999925,2.0
2021-12-23,1.1328,1.1325,1.1343,1.1289,0.04%,0.00039999999999995595,0.0
2021-12-24,1.1317,1.133,1.1344,1.1303,-0.10%,-0.001100000000000101,0.0
2021-12-27,1.1325,1.1318,1.1335,1.1302,0.07%,0.0008000000000001339,0.0
2021-12-28,1.1309,1.1329,1.1335,1.1289,-0.14%,-0.0016000000000000458,0.0
2021-12-29,1.1348,1.131,1.137,1.1273,0.34%,0.0039000000000000146,2.0
2021-12-30,1.1323,1.1349,1.136,1.1298,-0.22%,-0.0024999999999999467,1.0
2021-12-31,1.1368,1.1324,1.1387,1.1302,0.40%,0.0044999999999999485,2.0
